,target,time,turkId
0,5,0.0,ID1
1,5,0.547,ID1
3,5,1.17699500000001,ID1
4,5,1.7900000000000145,ID1
5,0,2.8969950000000098,ID1
7,5,8.82899500000001,ID1
8,5,9.801,ID1
9,5,14.38299500000001,ID1
10,5,17.067000000000018,ID1
11,5,17.36299500000001,ID1
12,5,22.11500000000001,ID1
13,5,23.263000000000016,ID1
14,4,24.74499500000001,ID1
15,0,25.59299500000001,ID1
16,3,27.355,ID1
17,3,32.892995000000006,ID1
18,3,36.523000000000025,ID1
19,0,36.59500000000001,ID1
20,0,36.68299500000001,ID1
21,3,36.82700000000001,ID1
22,3,39.564000000000014,ID1
23,3,39.57100000000001,ID1
24,3,39.57499500000001,ID1
25,3,39.65299500000001,ID1
26,3,43.10500000000001,ID1
27,3,48.22699500000002,ID1
28,3,49.651,ID1
29,3,49.655,ID1
30,3,50.52499500000002,ID1
31,3,52.29199500000002,ID1
32,3,53.621,ID1
33,3,54.81499500000002,ID1
34,3,58.767,ID1
36,5,60.43399500000002,ID1
37,5,61.08899500000002,ID1
38,5,61.85899500000002,ID1
39,5,61.88400000000003,ID1
40,5,63.20500000000003,ID1
41,5,76.351,ID1
43,2,77.85199500000003,ID1
44,2,78.35500000000003,ID1
46,2,80.598995,ID1
47,2,92.57199500000004,ID1
48,2,93.58899500000004,ID1
49,2,94.60500000000003,ID1
50,2,95.47699500000004,ID1
51,2,96.11199500000002,ID1
53,3,97.026,ID1
54,3,98.419,ID1
55,3,99.17299500000004,ID1
56,3,101.097,ID1
57,3,102.45099499999999,ID1
58,3,103.42200000000004,ID1
60,2,104.506,ID1
61,2,105.33299500000004,ID1
63,2,105.68699500000002,ID1
64,2,107.53400000000003,ID1
65,2,109.77199499999999,ID1
66,2,110.18999500000002,ID1
67,2,110.31,ID1
68,2,111.06300000000005,ID1
70,3,115.24,ID1
71,3,117.65900000000003,ID1
73,2,118.65400000000002,ID1
74,2,119.26799500000004,ID1
76,1,120.25300000000004,ID1
77,1,120.68999500000002,ID1
78,1,122.95500000000004,ID1
79,1,123.77900000000002,ID1
