,button,event_type,target,time,x,y,step,turkId
1675,1,mousedirchange,alloc-slider-5,619568.7700000001,592,989,1,0
1676,1,mousedirchange,alloc-slider-5,619608.5900000001,593,989,1,0
1677,1,mousedirchange,alloc-slider-5,619608.5900000001,593,989,1,0
1678,1,mousedirchange,alloc-slider-5,619648.505,594,989,1,0
1679,1,mousedirchange,alloc-slider-5,619664.525,595,989,1,0
1680,1,mousedirchange,alloc-slider-5,619689.0850000001,596,989,1,0
1681,1,mousedirchange,alloc-slider-5,619689.0850000001,596,989,1,0
1682,1,mousedirchange,alloc-slider-5,619738.7050000001,597,989,1,0
1683,1,mousedirchange,alloc-slider-5,619802.42,598,989,1,0
1684,1,mousedirchange,alloc-slider-5,619818.56,599,989,1,0
1685,1,mousedirchange,alloc-slider-5,619818.56,599,989,1,0
1686,1,mousedirchange,alloc-slider-5,619866.52,600,989,1,0
1687,1,mousedirchange,alloc-slider-5,619938.555,601,989,1,0
1688,1,mousedirchange,alloc-slider-5,619986.5750000001,602,989,1,0
1689,1,mousedirchange,alloc-slider-5,619986.5750000001,602,989,1,0
1690,1,mousedirchange,alloc-slider-5,620010.52,603,989,1,0
1691,1,mousedirchange,alloc-slider-5,620042.56,604,989,1,0
1692,1,mousedirchange,alloc-slider-5,620082.4450000001,605,989,1,0
1693,1,mousedirchange,alloc-slider-5,620082.4450000001,605,989,1,0
1694,1,mousedirchange,alloc-slider-5,620124.5,606,989,1,0
1695,1,mousedirchange,alloc-slider-5,620170.545,607,989,1,0
1696,1,mousedirchange,alloc-slider-5,620220.505,608,989,1,0
1697,1,mousedirchange,alloc-slider-5,620220.505,608,989,1,0
1698,1,mousedirchange,alloc-slider-5,620292.7100000001,609,989,1,0
1699,1,mousedirchange,alloc-slider-5,620348.6200000001,610,989,1,0
1700,1,mousedirchange,alloc-slider-5,620356.58,611,989,1,0
1701,1,mousedirchange,alloc-slider-5,620356.58,611,989,1,0
1702,1,mouseup,alloc-slider-5,620517.0850000001,611,989,1,0
1703,1,mouseup,alloc-slider-5,620517.0850000001,611,989,2,0
1704,1,mouseup,alloc-slider-5,620517.0850000001,611,989,3,0
1705,1,mouseup,alloc-slider-5,620517.0850000001,611,989,4,0
